GCNumber		WATER		TEMPERATURE		LIGHT
GC1: 		901.587301587		13.1609375		635.760416667
GC1: 		856.888888889		15.0088541667		646.25
GC1: 		935.111111111		16.6963541667		656.817708333
GC1: 		805.925925926		16.1703125		668.140625
GC1: 		948.148148148		14.6395833333		678.942708333
GC1: 		808.888888889		15.2692708333		689.848958333
GC1: 		808.888888889		14.284375		700.385416667
GC1: 		807.272727273		16.0791666667		710.208333333
GC1: 		812.390572391		20.1416666667		719.901041667
GC1: 		802.580645161		22.7265625		729.588541667
GC1: 		802.37037037		19.9630208333		738.739583333
GC1: 		800.0		22.1515625		747.427083333
GC1: 		817.204301075		23.1109375		755.151041667
GC1: 		800.0		25.7421875		761.640625
GC1: 		810.277777778		26.7114583333		766.640625
GC1: 		863.03030303		25.3333333333		770.40625
GC1: 		829.333333333		26.8171875		772.015625
GC1: 		884.444444444		26.9989583333		772.1875
GC1: 		903.333333333		25.9286458333		770.755208333
GC1: 		861.333333333		26.4765625		767.328125
GC1: 		883.333333333		26.0859375		762.442708333
GC1: 		958.222222222		27.1489583333		756.114583333
GC1: 		810.45751634		27.5369791667		748.359375
GC1: 		818.689458689		26.7671875		739.666666667
GC1: 		802.53968254		28.0859375		730.411458333
GC1: 		800.987654321		26.2072916667		720.838541667
GC1: 		810.035842294		26.83125		711.442708333
